id,perturbation_type,original_answer,perturbed_answer,original_pred,perturbed_pred,original_correct,perturbed_correct,consistent,pdr
162,integer-decimal-fraction conversion,15,15.7,15,7.06666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,False,False,1
170,integer-decimal-fraction conversion,14,14.25,14,3,True,False,False,1
178,integer-decimal-fraction conversion,7,243,7,18,True,False,False,1
186,integer-decimal-fraction conversion,8,0.08,00,00,False,False,True,0
194,integer-decimal-fraction conversion,26,26,26.,26.,True,True,True,0
202,integer-decimal-fraction conversion,2,2,5,45,False,False,False,0
210,integer-decimal-fraction conversion,243,244.5,243.,244.50,True,True,False,0
218,integer-decimal-fraction conversion,16,18,60,60,False,False,True,0
226,integer-decimal-fraction conversion,25,24,25,5,True,False,False,1
234,integer-decimal-fraction conversion,104,106,104.,106.,True,True,False,0
242,integer-decimal-fraction conversion,109,109,109.,109,True,True,False,0
250,integer-decimal-fraction conversion,80,80,80.,80,True,True,False,0
258,integer-decimal-fraction conversion,35,35,35,35,True,True,True,0
266,integer-decimal-fraction conversion,70,70,70,70,True,True,True,0
274,integer-decimal-fraction conversion,23,23,23,23,True,True,True,0
282,integer-decimal-fraction conversion,9,9,9,9,True,True,True,0
290,integer-decimal-fraction conversion,75,82.5,75,82.50,True,True,False,0
298,integer-decimal-fraction conversion,2,2,4,11,False,False,False,0
306,integer-decimal-fraction conversion,10,10.5,7,4.2,False,False,False,0
314,integer-decimal-fraction conversion,18,20.8,18,20.8,True,True,False,0
322,integer-decimal-fraction conversion,8,12,8,12,True,True,False,0
330,integer-decimal-fraction conversion,200,400,200,400,True,True,False,0
338,integer-decimal-fraction conversion,26,26,26,26,True,True,True,0
346,integer-decimal-fraction conversion,48,48,240,240,False,False,True,0
354,integer-decimal-fraction conversion,20,29,-180.00,290.,False,False,False,0
362,integer-decimal-fraction conversion,104,117,108,108,False,False,True,0
370,integer-decimal-fraction conversion,163,163,163,10,True,False,False,1
378,integer-decimal-fraction conversion,800,800,800,800,True,True,True,0
386,integer-decimal-fraction conversion,8,9,8,2.5,True,False,False,1
394,integer-decimal-fraction conversion,30,30,30,30,True,True,True,0
3,adding operation,18,14,18,14,True,True,False,0
11,adding operation,3,36,3,36,True,True,False,0
19,adding operation,70000,50000,65000,75000,False,False,False,0
27,adding operation,540,660,180,300,False,False,False,0
35,adding operation,20,30,25,10,False,False,False,0
43,adding operation,64,164,64.,180,True,False,False,1
51,adding operation,260,255,260,255,True,True,False,0
59,adding operation,160,193.33,100,113.33,False,False,False,0
67,adding operation,45,85,315,180,False,False,False,0
75,adding operation,460,510,460.,510.,True,True,False,0
83,adding operation,366,429,366,429,True,True,False,0
91,adding operation,694,994,40.,994.,False,True,False,-1
99,adding operation,13,37,12,10,False,False,False,0
107,adding operation,18,24,18,24,True,True,False,0
115,adding operation,60,45,60,25,True,False,False,1
123,adding operation,125,100,125.,8056,True,False,False,1
131,adding operation,230,330,2,230,False,False,False,0
139,adding operation,57500,60000,57500.,60000.,True,True,False,0
147,adding operation,7,9,4,4,False,False,True,0
155,adding operation,6,12,4,4,False,False,True,0
163,adding operation,15,19,3,3,False,False,True,0
171,adding operation,14,14,14,23,True,False,False,1
179,adding operation,7,6,7,13,True,False,False,1
187,adding operation,8,14,00,14,False,True,False,-1
195,adding operation,26,28,26.,28.,True,True,False,0
203,adding operation,2,1,15.,1,False,True,False,-1
211,adding operation,243,233,243.,233,True,True,False,0
219,adding operation,16,24,60,60,False,False,True,0
227,adding operation,25,30,25,20,True,False,False,1
235,adding operation,104,69.33,94.,69.33,False,True,False,-1
243,adding operation,109,109,109.,109.,True,True,True,0
251,adding operation,80,62,80.,77.5,True,False,False,1
259,adding operation,35,42,35,42,True,True,False,0
267,adding operation,70,90,70,90,True,True,False,0
275,adding operation,23,23,23,2.,True,False,False,1
283,adding operation,9,27,9,27,True,True,False,0
291,adding operation,75,105,75,30,True,False,False,1
299,adding operation,2,0,4,9,False,False,False,0
307,adding operation,10,7.5,7,2.,False,False,False,0
315,adding operation,18,15,18,18,True,False,True,1
323,adding operation,8,9,8,8,True,False,True,1
331,adding operation,200,440,200,1440,True,False,False,1
339,adding operation,26,26,26,26,True,True,True,0
347,adding operation,48,36,240,180,False,False,False,0
355,adding operation,20,18,-180.00,18.00,False,False,False,0
363,adding operation,104,132,108,132,False,True,False,-1
371,adding operation,163,188,163,188,True,True,False,0
379,adding operation,800,830,800,830,True,True,False,0
387,adding operation,8,20,8,20,True,True,False,0
395,adding operation,30,80,30,50.,True,False,False,1
4,reversing operation,18,2,18,2.,True,True,False,0
12,reversing operation,3,2,3,31,True,False,False,1
20,reversing operation,70000,150,65000,87.5,False,False,False,0
28,reversing operation,540,60,180,180,False,False,True,0
36,reversing operation,20,15,25,60,False,False,False,0
44,reversing operation,64,16,64.,64.,True,False,True,1
52,reversing operation,260,20,260,20,True,True,False,0
60,reversing operation,160,20,100,60,False,False,False,0
68,reversing operation,45,80,315,37.5,False,False,False,0
76,reversing operation,460,45,460.,45,True,True,False,0
84,reversing operation,366,60,366,60,True,True,False,0
92,reversing operation,694,3,100.,3,False,True,False,-1
100,reversing operation,13,1.5,12,1.50,False,True,False,-1
108,reversing operation,18,5,18,1,True,False,False,1
116,reversing operation,60,25,60,25,True,True,False,0
124,reversing operation,125,2.5,125.,0.58,True,False,False,1
132,reversing operation,230,150,3,150,False,True,False,-1
140,reversing operation,57500,35,57500.,100,True,False,False,1
148,reversing operation,7,3,4,1,False,False,False,0
156,reversing operation,6,4,4,2,False,False,False,0
164,reversing operation,15,3/5,3,62.2,False,False,False,0
172,reversing operation,14,31,14,43,True,False,False,1
180,reversing operation,7,2,7,2,True,True,False,0
188,reversing operation,8,2,00,2,False,True,False,-1
196,reversing operation,26,19.5,26.,19.50,True,True,False,0
204,reversing operation,2,3,5,3.,False,True,False,-1
212,reversing operation,243,42,243.,42,True,True,False,0
220,reversing operation,16,60,60,-4800,False,False,False,0
228,reversing operation,25,60,25,70,True,False,False,1
236,reversing operation,104,33,94.,33,False,True,False,-1
244,reversing operation,109,162,109.,162.,True,True,False,0
252,reversing operation,80,80,80.,83,True,False,False,1
260,reversing operation,35,10,35,10,True,True,False,0
268,reversing operation,70,110,70,110,True,True,False,0
276,reversing operation,23,40,23,40,True,True,False,0
284,reversing operation,9,4,9,4,True,True,False,0
292,reversing operation,75,2,75,2,True,True,False,0
300,reversing operation,2,5,4,5,False,True,False,-1
308,reversing operation,10,60,7,60,False,True,False,-1
316,reversing operation,18,6,18,6,True,True,False,0
324,reversing operation,8,1,8,1,True,True,False,0
332,reversing operation,200,1000,200,200,True,False,True,1
340,reversing operation,26,14,26,14,True,True,False,0
348,reversing operation,48,1800,240,2000,False,False,False,0
356,reversing operation,20,2,-180.00,11.,False,False,False,0
364,reversing operation,104,2,120,2,False,True,False,-1
372,reversing operation,163,80,163,23,True,False,False,1
380,reversing operation,800,50,800,800,True,False,True,1
388,reversing operation,8,6,8,6,True,True,False,0
396,reversing operation,30,15,30,15,True,True,False,0
5,problem understanding,18,18,18,18,True,True,True,0
13,problem understanding,3,3,3,2,True,False,False,1
21,problem understanding,70000,70000,65000,195000.,False,False,False,0
29,problem understanding,540,540,180,180,False,False,True,0
37,problem understanding,20,20,25,20,False,True,False,-1
45,problem understanding,64,64,64.,-4000,True,False,False,1
53,problem understanding,260,260,260,260.,True,True,False,0
61,problem understanding,160,160,100,160,False,True,False,-1
69,problem understanding,45,45,315,315,False,False,True,0
77,problem understanding,460,460,460.,460,True,True,False,0
85,problem understanding,366,366,366,366.,True,True,False,0
93,problem understanding,694,694,100.,694.,False,True,False,-1
101,problem understanding,13,13,12,12,False,False,True,0
109,problem understanding,18,18,18,18,True,True,True,0
117,problem understanding,60,60,60,55,True,False,False,1
125,problem understanding,125,125,125.,125,True,True,False,0
133,problem understanding,230,230,2,230,False,True,False,-1
141,problem understanding,57500,57500,57500.,57500.,True,True,True,0
149,problem understanding,7,7,4,7,False,True,False,-1
157,problem understanding,6,6,4,6,False,True,False,-1
165,problem understanding,15,15,3,12.33,False,False,False,0
173,problem understanding,14,14,14,8,True,False,False,1
181,problem understanding,7,7,7,7,True,True,True,0
189,problem understanding,8,8,00,8,False,True,False,-1
197,problem understanding,26,26,26.,26.,True,True,True,0
205,problem understanding,2,2,5,2,False,True,False,-1
213,problem understanding,243,243,243.,243.,True,True,True,0
221,problem understanding,16,16,60,16,False,True,False,-1
229,problem understanding,25,25,25,5,True,False,False,1
237,problem understanding,104,104,94.,38.,False,False,False,0
245,problem understanding,109,109,109.,109,True,True,False,0
253,problem understanding,80,80,80.,80,True,True,False,0
261,problem understanding,35,35,35,35,True,True,True,0
269,problem understanding,70,70,70,70,True,True,True,0
277,problem understanding,23,23,23,23,True,True,True,0
285,problem understanding,9,9,9,9,True,True,True,0
293,problem understanding,75,75,75.00,30,False,False,False,0
301,problem understanding,2,2,4,2.,False,True,False,-1
309,problem understanding,10,10,7,10,False,True,False,-1
317,problem understanding,18,18,18,18,True,True,True,0
325,problem understanding,8,8,8,8,True,True,True,0
333,problem understanding,200,200,200,2200,True,False,False,1
341,problem understanding,26,26,26,26,True,True,True,0
349,problem understanding,48,48,240,97,False,False,False,0
357,problem understanding,20,20,-180.00,5,False,False,False,0
365,problem understanding,104,104,120,104,False,True,False,-1
373,problem understanding,163,163,163,83,True,False,False,1
381,problem understanding,800,800,800,800.,True,True,False,0
389,problem understanding,8,8,8,8,True,True,True,0
397,problem understanding,30,30,30,30,True,True,True,0
6,distraction insertion,18,18,18,1200,True,False,False,1
14,distraction insertion,3,3,3,3.,True,True,False,0
22,distraction insertion,70000,70000,65000,65000.,False,False,False,0
30,distraction insertion,540,540,180,180,False,False,True,0
38,distraction insertion,20,20,25,4,False,False,False,0
46,distraction insertion,64,64,64.,59.,True,False,False,1
54,distraction insertion,260,260,260,260.,True,True,False,0
62,distraction insertion,160,160,100,100,False,False,True,0
70,distraction insertion,45,45,315,4,False,False,False,0
78,distraction insertion,460,460,460.,460.,True,True,True,0
86,distraction insertion,366,366,366,366,True,True,True,0
94,distraction insertion,694,694,100.,694.,False,True,False,-1
102,distraction insertion,13,13,12,12,False,False,True,0
110,distraction insertion,18,18,18,18,True,True,True,0
118,distraction insertion,60,60,60,60,True,True,True,0
126,distraction insertion,125,125,125.,125,True,True,False,0
134,distraction insertion,230,230,2,480,False,False,False,0
142,distraction insertion,57500,57500,57500.,57500,True,True,False,0
150,distraction insertion,7,7,4,4,False,False,True,0
158,distraction insertion,6,6,4,4,False,False,True,0
166,distraction insertion,15,15,15,3,True,False,False,1
174,distraction insertion,14,14,14,17,True,False,False,1
182,distraction insertion,7,7,7,6,True,False,False,1
190,distraction insertion,8,8,00,4,False,False,False,0
198,distraction insertion,26,26,26.,26.00,True,False,False,1
206,distraction insertion,2,2,5,2,False,True,False,-1
214,distraction insertion,243,243,243.,243,True,True,False,0
222,distraction insertion,16,16,60,60,False,False,True,0
230,distraction insertion,25,25,25,25,True,True,True,0
238,distraction insertion,104,104,104.,119,True,False,False,1
246,distraction insertion,109,109,109.,109.,True,True,True,0
254,distraction insertion,80,80,80.,80.,True,True,True,0
262,distraction insertion,35,35,35,35,True,True,True,0
270,distraction insertion,70,70,70,110,True,False,False,1
278,distraction insertion,23,23,23,23,True,True,True,0
286,distraction insertion,9,9,9,9,True,True,True,0
294,distraction insertion,75,75,75,75.00,True,False,False,1
302,distraction insertion,2,2,4,2,False,True,False,-1
310,distraction insertion,10,10,7,4.44,False,False,False,0
318,distraction insertion,18,18,18,18,True,True,True,0
326,distraction insertion,8,8,8,8,True,True,True,0
334,distraction insertion,200,200,200,200,True,True,True,0
342,distraction insertion,26,26,26,26,True,True,True,0
350,distraction insertion,48,48,240,360,False,False,False,0
358,distraction insertion,20,20,-180.00,200.00,False,False,False,0
366,distraction insertion,104,104,108,104,False,True,False,-1
374,distraction insertion,163,163,163,178,True,False,False,1
382,distraction insertion,800,800,800,800,True,True,True,0
390,distraction insertion,8,8,8,8,True,True,True,0
398,distraction insertion,30,30,679.,3285.,False,False,False,0
